Program Name,Organization,Region/Location,Type,Deadline/Application Period,Duration,Grant Amount,Key Requirements,Website URL
Villa Kujoyama,Institut français du Japon,Kyoto Japan,Residency,"Opens Feb 3 2026, application limited to 250 submissions",4-6 months,Covered: housing + stipend,"French citizens or based in France 5+ years; 17 disciplines including visual arts, music, dance, architecture, design, crafts",https://villakujoyama.jp/en/programme-de-residence-3/
Texas A&M New Work Development,School of Performance Visualization and Fine Arts,Texas USA,Residency,Deadline: Jan 30 2026,Aug 4 - Oct 4 2026 (2 months),"$10,000 USD stipend + on-campus lodging + facilities","Digital/New Media, Performing Arts, Visual Arts; international artists with visa support",https://pvfa.tamu.edu/faculty-research-and-creative-works/asir/new-work-development-artist-residency/
Villa Medici,French Academy in Rome,Rome Italy,Residency,Multiple open calls ongoing,Varies by program,Varies by program,"French or international French-speaking artists, multiple disciplines including visual arts, art history, cooking, crafts, comic strip",https://villamedici.it/en/residencies/
Casa de Velázquez - Artistes en Résidence,Académie de France à Madrid,Madrid Spain,Residency,Oct 20 - Nov 28 2025 (CLOSED for 2026-2027),11 months,"€25,000 estimated","Artists with significant body of work, any nationality; must present project related to Iberian Peninsula; interview in French; disciplines: architecture, visual arts, video art, choreography, film, music composition, photography",https://www.casadevelazquez.org/en/la-casa/artist-applications
Casa de Velázquez - Valencia Grant,Ajuntament de València,Madrid Spain (for Valencia residents),Residency,Annual call,Academic year (until July 31 following year),"€16,000",Residents of Valencia Community (Spain) for at least 1 year,https://www.casadevelazquez.org/en/la-casa/artist-applications
Casa de Velázquez - Santander Grant,Ayuntamiento de Santander,Madrid Spain (for Santander artists),Residency,Open,10 months,Not specified,Born or residing in Santander,https://www.casadevelazquez.org/en/la-casa/artist-applications
Casa de Velázquez - Zaragoza Grant,Diputación Provincial de Zaragoza,Madrid Spain (for Zaragoza artists),Residency,Closed for current cycle,11 months,"€25,000","Visual artists born or residing in Zaragoza province, ages 18-40",https://www.casadevelazquez.org/en/la-casa/artist-applications
Casa de Velázquez - Málaga Grant,Ayuntamiento de Málaga,Madrid Spain (for Málaga artists),Residency,Closed,10 months,"€23,000",Visual artists born or residing in Málaga province,https://www.casadevelazquez.org/en/la-casa/artist-applications
Casa de Velázquez - Fundació Miró Mallorca,Fundació Miró Mallorca,Madrid Spain,Residency,Annual call,3 months (2 grants),"€4,000 each",Part of Premios y Becas Pilar Juncosa program,https://www.casadevelazquez.org/en/la-casa/artist-applications
Casa de Velázquez - Laine et Création,ADAGP & Mobilier National,Madrid Spain,Residency,Winter 2025-2026,3 months (two 1.5 month periods),"€6,000 + €2,000 for prototype","Visual arts, French scene (working/residing in France 5+ years or French nationality living abroad), mid-career (10+ years experience)",https://www.casadevelazquez.org/en/la-casa/artist-applications
